# IEA 15 MW
TSR,   Pitch ,  C_Fx  ,   C_Fy   ,  C_Fz   ,  C_Mx   ,  C_My  ,   C_Mz
(-),   (deg) ,  (-)  ,   (-)   ,  (-)   ,  (-)   ,  (-)  ,   (-)
3.2500,	17.000000,	0.134110,	0.0000,	0.0000,	0.0413,	0.0000,	0.0000
3.2500,	17.250000,	0.131878,	0.0000,	0.0000,	0.0406,	0.0000,	0.0000
3.2500,	17.500000,	0.129609,	0.0000,	0.0000,	0.0399,	0.0000,	0.0000
3.2500,	17.750000,	0.127305,	0.0000,	0.0000,	0.0392,	0.0000,	0.0000
3.2500,	18.000000,	0.124965,	0.0000,	0.0000,	0.0385,	0.0000,	0.0000
3.2500,	18.250000,	0.122590,	0.0000,	0.0000,	0.0378,	0.0000,	0.0000
3.2500,	18.500000,	0.120181,	0.0000,	0.0000,	0.0370,	0.0000,	0.0000
3.2500,	18.750000,	0.117737,	0.0000,	0.0000,	0.0363,	0.0000,	0.0000
3.2500,	19.000000,	0.115258,	0.0000,	0.0000,	0.0355,	0.0000,	0.0000
3.2500,	19.250000,	0.112746,	0.0000,	0.0000,	0.0347,	0.0000,	0.0000
3.2500,	19.500000,	0.110200,	0.0000,	0.0000,	0.0339,	0.0000,	0.0000
3.2500,	19.750000,	0.107620,	0.0000,	0.0000,	0.0331,	0.0000,	0.0000
3.2500,	20.000000,	0.105007,	0.0000,	0.0000,	0.0323,	0.0000,	0.0000
3.2500,	20.250000,	0.102362,	0.0000,	0.0000,	0.0315,	0.0000,	0.0000
3.2500,	20.500000,	0.099683,	0.0000,	0.0000,	0.0307,	0.0000,	0.0000
3.2500,	20.750000,	0.096973,	0.0000,	0.0000,	0.0299,	0.0000,	0.0000
3.2500,	21.000000,	0.094230,	0.0000,	0.0000,	0.0290,	0.0000,	0.0000
3.2500,	21.250000,	0.091456,	0.0000,	0.0000,	0.0282,	0.0000,	0.0000
3.2500,	21.500000,	0.088650,	0.0000,	0.0000,	0.0273,	0.0000,	0.0000
3.2500,	21.750000,	0.085814,	0.0000,	0.0000,	0.0264,	0.0000,	0.0000
3.2500,	22.000000,	0.082948,	0.0000,	0.0000,	0.0255,	0.0000,	0.0000
3.2500,	22.250000,	0.080051,	0.0000,	0.0000,	0.0247,	0.0000,	0.0000
3.2500,	22.500000,	0.077126,	0.0000,	0.0000,	0.0238,	0.0000,	0.0000
3.2500,	22.750000,	0.074172,	0.0000,	0.0000,	0.0228,	0.0000,	0.0000
3.2500,	23.000000,	0.071191,	0.0000,	0.0000,	0.0219,	0.0000,	0.0000
3.2500,	23.250000,	0.068182,	0.0000,	0.0000,	0.0210,	0.0000,	0.0000
3.2500,	23.500000,	0.065148,	0.0000,	0.0000,	0.0201,	0.0000,	0.0000
3.2500,	23.750000,	0.062088,	0.0000,	0.0000,	0.0191,	0.0000,	0.0000
3.2500,	24.000000,	0.059004,	0.0000,	0.0000,	0.0182,	0.0000,	0.0000
3.2500,	24.250000,	0.055897,	0.0000,	0.0000,	0.0172,	0.0000,	0.0000
3.2500,	24.500000,	0.052768,	0.0000,	0.0000,	0.0163,	0.0000,	0.0000
3.2500,	24.750000,	0.049619,	0.0000,	0.0000,	0.0153,	0.0000,	0.0000
3.5000,	-1.000000,	0.147699,	0.0000,	0.0000,	0.0422,	0.0000,	0.0000
3.5000,	-0.750000,	0.150669,	0.0000,	0.0000,	0.0431,	0.0000,	0.0000
3.5000,	-0.500000,	0.153602,	0.0000,	0.0000,	0.0439,	0.0000,	0.0000
3.5000,	-0.250000,	0.156493,	0.0000,	0.0000,	0.0448,	0.0000,	0.0000
3.5000,	0.000000,	0.159340,	0.0000,	0.0000,	0.0456,	0.0000,	0.0000
3.5000,	0.250000,	0.162138,	0.0000,	0.0000,	0.0464,	0.0000,	0.0000
3.5000,	0.500000,	0.164882,	0.0000,	0.0000,	0.0472,	0.0000,	0.0000
3.5000,	0.750000,	0.167568,	0.0000,	0.0000,	0.0479,	0.0000,	0.0000
3.5000,	1.000000,	0.170191,	0.0000,	0.0000,	0.0487,	0.0000,	0.0000
3.5000,	1.250000,	0.172746,	0.0000,	0.0000,	0.0494,	0.0000,	0.0000
3.5000,	1.500000,	0.175229,	0.0000,	0.0000,	0.0501,	0.0000,	0.0000
3.5000,	1.750000,	0.177633,	0.0000,	0.0000,	0.0508,	0.0000,	0.0000
3.5000,	2.000000,	0.179953,	0.0000,	0.0000,	0.0515,	0.0000,	0.0000
3.5000,	2.250000,	0.182183,	0.0000,	0.0000,	0.0521,	0.0000,	0.0000
3.5000,	2.500000,	0.184318,	0.0000,	0.0000,	0.0527,	0.0000,	0.0000
3.5000,	2.750000,	0.186352,	0.0000,	0.0000,	0.0533,	0.0000,	0.0000
3.5000,	3.000000,	0.188279,	0.0000,	0.0000,	0.0538,	0.0000,	0.0000
3.5000,	3.250000,	0.190096,	0.0000,	0.0000,	0.0544,	0.0000,	0.0000
3.5000,	3.500000,	0.191798,	0.0000,	0.0000,	0.0549,	0.0000,	0.0000
3.5000,	3.750000,	0.193382,	0.0000,	0.0000,	0.0553,	0.0000,	0.0000
3.5000,	4.000000,	0.194845,	0.0000,	0.0000,	0.0557,	0.0000,	0.0000
3.5000,	4.250000,	0.196186,	0.0000,	0.0000,	0.0561,	0.0000,	0.0000
3.5000,	4.500000,	0.197403,	0.0000,	0.0000,	0.0565,	0.0000,	0.0000
3.5000,	4.750000,	0.198494,	0.0000,	0.0000,	0.0568,	0.0000,	0.0000
3.5000,	5.000000,	0.199460,	0.0000,	0.0000,	0.0570,	0.0000,	0.0000
3.5000,	5.250000,	0.200300,	0.0000,	0.0000,	0.0573,	0.0000,	0.0000
3.5000,	5.500000,	0.201013,	0.0000,	0.0000,	0.0575,	0.0000,	0.0000
3.5000,	5.750000,	0.201600,	0.0000,	0.0000,	0.0577,	0.0000,	0.0000
3.5000,	6.000000,	0.202063,	0.0000,	0.0000,	0.0578,	0.0000,	0.0000
3.5000,	6.250000,	0.202401,	0.0000,	0.0000,	0.0579,	0.0000,	0.0000
3.5000,	6.500000,	0.202616,	0.0000,	0.0000,	0.0579,	0.0000,	0.0000
3.5000,	6.750000,	0.202709,	0.0000,	0.0000,	0.0580,	0.0000,	0.0000
3.5000,	7.000000,	0.202682,	0.0000,	0.0000,	0.0580,	0.0000,	0.0000
3.5000,	7.250000,	0.202538,	0.0000,	0.0000,	0.0579,	0.0000,	0.0000
3.5000,	7.500000,	0.202278,	0.0000,	0.0000,	0.0578,	0.0000,	0.0000
3.5000,	7.750000,	0.201905,	0.0000,	0.0000,	0.0577,	0.0000,	0.0000
3.5000,	8.000000,	0.201421,	0.0000,	0.0000,	0.0576,	0.0000,	0.0000
3.5000,	8.250000,	0.200830,	0.0000,	0.0000,	0.0574,	0.0000,	0.0000
3.5000,	8.500000,	0.200136,	0.0000,	0.0000,	0.0572,	0.0000,	0.0000
3.5000,	8.750000,	0.199340,	0.0000,	0.0000,	0.0570,	0.0000,	0.0000
3.5000,	9.000000,	0.198447,	0.0000,	0.0000,	0.0568,	0.0000,	0.0000
3.5000,	9.250000,	0.197460,	0.0000,	0.0000,	0.0565,	0.0000,	0.0000
3.5000,	9.500000,	0.196382,	0.0000,	0.0000,	0.0562,	0.0000,	0.0000
3.5000,	9.750000,	0.195216,	0.0000,	0.0000,	0.0558,	0.0000,	0.0000
3.5000,	10.000000,	0.193966,	0.0000,	0.0000,	0.0555,	0.0000,	0.0000
3.5000,	10.250000,	0.192635,	0.0000,	0.0000,	0.0551,	0.0000,	0.0000
3.5000,	10.500000,	0.191226,	0.0000,	0.0000,	0.0547,	0.0000,	0.0000
3.5000,	10.750000,	0.189741,	0.0000,	0.0000,	0.0543,	0.0000,	0.0000
3.5000,	11.000000,	0.188185,	0.0000,	0.0000,	0.0538,	0.0000,	0.0000
3.5000,	11.250000,	0.186558,	0.0000,	0.0000,	0.0534,	0.0000,	0.0000
3.5000,	11.500000,	0.184866,	0.0000,	0.0000,	0.0529,	0.0000,	0.0000
3.5000,	11.750000,	0.183108,	0.0000,	0.0000,	0.0524,	0.0000,	0.0000
3.5000,	12.000000,	0.181289,	0.0000,	0.0000,	0.0518,	0.0000,	0.0000
3.5000,	12.250000,	0.179411,	0.0000,	0.0000,	0.0513,	0.0000,	0.0000
3.5000,	12.500000,	0.177476,	0.0000,	0.0000,	0.0508,	0.0000,	0.0000
3.5000,	12.750000,	0.175485,	0.0000,	0.0000,	0.0502,	0.0000,	0.0000
3.5000,	13.000000,	0.173442,	0.0000,	0.0000,	0.0496,	0.0000,	0.0000
3.5000,	13.250000,	0.171347,	0.0000,	0.0000,	0.0490,	0.0000,	0.0000
3.5000,	13.500000,	0.169203,	0.0000,	0.0000,	0.0484,	0.0000,	0.0000
3.5000,	13.750000,	0.167010,	0.0000,	0.0000,	0.0478,	0.0000,	0.0000
3.5000,	14.000000,	0.164771,	0.0000,	0.0000,	0.0471,	0.0000,	0.0000
3.5000,	14.250000,	0.162486,	0.0000,	0.0000,	0.0465,	0.0000,	0.0000
3.5000,	14.500000,	0.160156,	0.0000,	0.0000,	0.0458,	0.0000,	0.0000
3.5000,	14.750000,	0.157782,	0.0000,	0.0000,	0.0451,	0.0000,	0.0000
3.5000,	15.000000,	0.155365,	0.0000,	0.0000,	0.0444,	0.0000,	0.0000
3.5000,	15.250000,	0.152905,	0.0000,	0.0000,	0.0437,	0.0000,	0.0000
3.5000,	15.500000,	0.150403,	0.0000,	0.0000,	0.0430,	0.0000,	0.0000
3.5000,	15.750000,	0.147860,	0.0000,	0.0000,	0.0423,	0.0000,	0.0000
3.5000,	16.000000,	0.145276,	0.0000,	0.0000,	0.0415,	0.0000,	0.0000
3.5000,	16.250000,	0.142651,	0.0000,	0.0000,	0.0408,	0.0000,	0.0000
3.5000,	16.500000,	0.139986,	0.0000,	0.0000,	0.0400,	0.0000,	0.0000
3.5000,	16.750000,	0.137280,	0.0000,	0.0000,	0.0393,	0.0000,	0.0000
3.5000,	17.000000,	0.134535,	0.0000,	0.0000,	0.0385,	0.0000,	0.0000
3.5000,	17.250000,	0.131750,	0.0000,	0.0000,	0.0377,	0.0000,	0.0000
3.5000,	17.500000,	0.128925,	0.0000,	0.0000,	0.0369,	0.0000,	0.0000
3.5000,	17.750000,	0.126062,	0.0000,	0.0000,	0.0361,	0.0000,	0.0000
3.5000,	18.000000,	0.123159,	0.0000,	0.0000,	0.0352,	0.0000,	0.0000
3.5000,	18.250000,	0.120218,	0.0000,	0.0000,	0.0344,	0.0000,	0.0000
3.5000,	18.500000,	0.117238,	0.0000,	0.0000,	0.0335,	0.0000,	0.0000
